"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"28","Terrence Jones","F","1610612745",30.641075,19.702235,31.9569415333552,26,0,6.1240515748359,0,"Tristan Thompson","C-F","1610612739"
"29","Matthew Dellavedova","G","1610612739",85.997525,35.55315,25.557929807123,9,2,1.969069497434,1,"Ty Lawson","G","1610612745"
"30","Iman Shumpert","G","1610612739",87.030775,47.044005,33.5916242108719,20,2,5.70885485215074,0,"Marcus Thornton","F-G","1610612745"
"31","Corey Brewer","G-F","1610612745",21.11987,18.3556533333333,33.9107703920089,16,0,4.94796214347325,0,"Richard Jefferson","F","1610612739"
"32","Anderson Varejao","F","1610612739",74.3472066666667,28.4204633333333,31.4344463549705,13,2,8.16553268317029,0,"Ty Lawson","G","1610612745"
"33","Iman Shumpert","G","1610612739",78.8821066666667,47.2821133333333,31.1447063462264,24,0,8.21787671599544,0,"Marcus Thornton","F-G","1610612745"
"34","Anderson Varejao","F","1610612739",84.404235,25.120315,46.501065015305,2,0,3.60276641683166,1,"Terrence Jones","F","1610612745"
"35","Marcus Thornton","F-G","1610612745",4.66294,11.862615,71.0522928288987,10,0,4.3026976221552,0,"Iman Shumpert","G","1610612739"
"36","Marcus Thornton","F-G","1610612745",6.10353,2.347875,35.9159404678631,23,0,9.48351926484177,0,"Tristan Thompson","C-F","1610612739"
"37","Kyrie Irving","G","1610612739",84.37818,21.40411,27.1381178440889,1,2,2.15388304179335,1,"Ty Lawson","G","1610612745"
"38","Anderson Varejao","F","1610612739",72.006365,17.42639,27.2456668975787,18,0,10.8326016257776,0,"James Harden","G","1610612745"
"39","Dwight Howard","C","1610612745",11.6857766666667,26.2669133333333,43.6028802887992,6,0,2.57711213821682,1,"Tristan Thompson","C-F","1610612739"
"40","Kyrie Irving","G","1610612739",72.02806,44.08424,26.548549865638,26,0,4.94303619139537,0,"Patrick Beverley","G","1610612745"
"41","Dwight Howard","C","1610612745",6.44226666666667,23.8016166666667,70.9669934762712,0,2,9.95372747426923,0,"Iman Shumpert","G","1610612739"
"42","Kevin Love","F","1610612739",88.39245,47.742495,30.5053034837143,23,0,13.8080134537087,0,"Clint Capela","F-C","1610612745"
"43","Kevin Love","F","1610612739",75.1518266666667,35.6091066666667,34.512596295156,18,0,10.2868930720629,0,"Clint Capela","F-C","1610612745"
"44","Kyrie Irving","G","1610612739",70.8671266666667,8.40246,27.8548479706592,25,3,17.6560295721352,0,"James Harden","G","1610612745"
"45","Clint Capela","F-C","1610612745",14.82241,22.13881,21.8603384679741,4,2,4.06474398182441,0,"Kevin Love","F","1610612739"
"46","Kyrie Irving","G","1610612739",80.5313266666667,19.5582,38.3188370805232,9,2,3.22876603009228,1,"Patrick Beverley","G","1610612745"
"47","Trevor Ariza","F","1610612745",7.458775,28.18371,34.6436404165117,2,2,2.8981231466632,1,"Kevin Love","F","1610612739"
"48","Kevin Love","F","1610612739",87.7515633333333,2.60851,30.614439396701,24,0,6.33672870311558,0,"Clint Capela","F-C","1610612745"
"49","James Harden","G","1610612745",30.69208,28.165575,30.6757781688874,25,0,5.51252311924857,0,"Iman Shumpert","G","1610612739"
"50","Matthew Dellavedova","G","1610612739",77.8266033333333,20.25008,38.204140775283,11,0,4.83943894628062,0,"Jason Terry","G","1610612745"
"51","Terrence Jones","F","1610612745",4.328385,37.164195,41.9019727842564,12,0,6.74888961332899,0,"Kevin Love","F","1610612739"
"52","J.R. Smith","G-F","1610612739",88.487075,47.85673,38.1861386856057,24,0,4.95567275353206,0,"James Harden","G","1610612745"
"53","LeBron James","F","1610612739",83.47381,10.24543,21.9568198082395,14,0,2.90851109380728,1,"Trevor Ariza","F","1610612745"
"54","LeBron James","F","1610612739",83.47381,10.24543,21.9568198082395,3,0,2.90851109380728,1,"Trevor Ariza","F","1610612745"
"55","Jason Terry","G","1610612745",8.641375,2.46118,31.1218124479727,23,0,4.51016523870246,0,"Matthew Dellavedova","G","1610612739"
"56","J.R. Smith","G-F","1610612739",81.9372583333333,40.1931066666667,17.012630293455,25,0,1.05278579486393,1,"James Harden","G","1610612745"
"57","J.R. Smith","G-F","1610612739",88.68231,23.51775,7.72924160501595,3,2,1.22122831832454,1,"James Harden","G","1610612745"
"58","LeBron James","F","1610612739",90.344895,29.179425,36.8834566780604,2,2,1.77058153422118,1,"Jason Terry","G","1610612745"
"59","Matthew Dellavedova","G","1610612739",77.564215,46.30447,39.6730671327325,25,0,6.52713366512821,0,"Jason Terry","G","1610612745"
"60","LeBron James","F","1610612739",85.22534,27.70458,30.2252789485129,2,2,3.18862172313525,1,"James Harden","G","1610612745"
"61","J.R. Smith","G-F","1610612739",25.6968433333333,39.46908,30.9268404892922,25,0,5.48685803770448,0,"James Harden","G","1610612745"
"62","Kevin Love","F","1610612739",25.7826266666667,39.9066633333333,25.9653327238234,27,3,5.85944890796054,0,"Clint Capela","F-C","1610612745"
"63","Trevor Ariza","F","1610612745",81.036475,25.40444,45.5308392850481,6,0,3.06432806772546,1,"Kevin Love","F","1610612739"
