"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"69","Nikola Vucevic","C","1610612753",12.29458,42.18234,34.9978393323892,17,0,4.93871706557989,0,"Andre Drummond","C","1610612765"
"70","Andre Drummond","C","1610612765",82.51916,21.1256933333333,18.0021038599088,0,0,3.28528219301549,1,"Nikola Vucevic","C","1610612753"
"71","Tobias Harris","F","1610612753",5.609525,21.177065,25.0178902647275,0,2,9.14673911517378,0,"Marcus Morris","F","1610612765"
"72","Ersan Ilyasova","F","1610612765",75.01262,12.04152,36.0289907318426,14,0,5.42615953855257,0,"Victor Oladipo","G","1610612753"
"73","Nikola Vucevic","C","1610612753",86.5103466666667,18.4513366666667,44.4114688694116,6,2,1.92447305926122,1,"Andre Drummond","C","1610612765"
"74","Andre Drummond","C","1610612765",9.53296333333333,42.74835,34.6385107492511,17,0,4.11967865875352,0,"Nikola Vucevic","C","1610612753"
"75","Nikola Vucevic","C","1610612753",78.65488,30.7784966666667,34.068282369531,8,0,5.2692021475162,0,"Ersan Ilyasova","F","1610612765"
"76","Tobias Harris","F","1610612753",66.611045,14.569595,31.860631262629,26,3,8.30999075082818,0,"Kentavious Caldwell-Pope","G","1610612765"
"77","Kentavious Caldwell-Pope","G","1610612765",10.142575,2.634105,33.9971372467452,25,0,4.06622283616196,0,"Evan Fournier","F","1610612753"
"78","Nikola Vucevic","C","1610612753",85.532945,18.512065,44.3345405467217,6,2,3.85182710189917,1,"Andre Drummond","C","1610612765"
"79","Reggie Jackson","G","1610612765",20.6266933333333,31.9889566666667,37.2349828108272,14,2,3.42789836047947,1,"Victor Oladipo","G","1610612753"
"80","Tobias Harris","F","1610612753",82.296815,2.19023,33.0046735118483,26,0,4.8619625307534,0,"Marcus Morris","F","1610612765"
"81","Andre Drummond","C","1610612765",13.56575,28.30749,38.1936240450795,7,0,3.01026413117686,1,"Nikola Vucevic","C","1610612753"
"82","Andre Drummond","C","1610612765",13.56575,28.30749,38.1936240450795,5,0,3.01026413117686,1,"Nikola Vucevic","C","1610612753"
"83","Channing Frye","F","1610612753",70.3441666666667,32.0265266666667,31.115936216965,16,2,5.21500830710957,0,"Reggie Jackson","G","1610612765"
"84","Reggie Jackson","G","1610612765",20.0391533333333,19.7223666666667,34.027742981857,14,2,3.37589312689094,1,"Victor Oladipo","G","1610612753"
"85","Nikola Vucevic","C","1610612753",71.753425,34.52731,35.0952418084225,17,2,6.56982564412863,0,"Andre Drummond","C","1610612765"
"86","Ersan Ilyasova","F","1610612765",30.020915,32.067115,35.6152658636184,26,0,6.30382934477925,0,"Channing Frye","F","1610612753"
"87","Tobias Harris","F","1610612753",85.63819,24.2118266666667,50.854272820564,0,2,6.94304574137152,0,"Andre Drummond","C","1610612765"
"88","Kentavious Caldwell-Pope","G","1610612765",5.28931333333333,36.53705,33.8707124305805,7,0,0.965295064210355,1,"Evan Fournier","F","1610612753"
"89","Marcus Morris","F","1610612765",9.406,7.56114,29.2317728569058,14,2,7.6668672253999,0,"Nikola Vucevic","C","1610612753"
"90","Victor Oladipo","G","1610612753",63.785485,22.08477,33.8570977923463,26,3,6.08820982434492,0,"Reggie Jackson","G","1610612765"
"91","Marcus Morris","F","1610612765",10.278635,5.00199,36.6292113641112,17,2,4.03985034730558,0,"Tobias Harris","F","1610612753"
"92","Nikola Vucevic","C","1610612753",82.550255,23.62801,69.6168840107492,0,0,3.13488577596138,1,"Kentavious Caldwell-Pope","G","1610612765"
"93","Evan Fournier","F","1610612753",82.808735,24.134755,9.33164137647445,8,0,3.34961351321686,1,"Andre Drummond","C","1610612765"
"94","Kentavious Caldwell-Pope","G","1610612765",27.177665,11.691605,30.5223139915876,26,3,6.75663018020263,0,"Evan Fournier","F","1610612753"
"95","Victor Oladipo","G","1610612753",67.6130366666667,21.6994733333333,31.6062841685553,19,0,7.61300007094948,0,"Reggie Jackson","G","1610612765"
"96","Andre Drummond","C","1610612765",11.2403466666667,31.1770433333333,39.4333485811669,7,2,3.66795000247791,1,"Nikola Vucevic","C","1610612753"
"97","Channing Frye","F","1610612753",89.0852,1.345455,29.325684807823,23,0,4.73647212132089,0,"Ersan Ilyasova","F","1610612765"
"98","Evan Fournier","F","1610612753",63.1543,26.97698,28.0712307425745,26,0,8.02774799887397,0,"Kentavious Caldwell-Pope","G","1610612765"
"99","Reggie Jackson","G","1610612765",15.1623633333333,31.5615666666667,31.3003370231821,10,2,2.47465193421001,1,"Shabazz Napier","G","1610612753"
"100","Nikola Vucevic","C","1610612753",86.32398,35.34354,61.1586706380543,4,2,1.5934569577651,1,"Andre Drummond","C","1610612765"
