"","passer_Id","time_pass","shooter","time_receive","time_shot","quarter","shot_result","assist_status","time_to_shoot"
"107","Victor Oladipo",73.4,"Shabazz Napier",72.8,72.2,3,"MISS","NO",0.599999999999994
"108","Stanley Johnson",58.5,"Aron Baynes",57.8,56.2,3,"MAKE","YES",1.59999999999999
"109","Shabazz Napier",44.2,"Andrew Nicholson",43.2,43,3,"MAKE","YES",0.200000000000003
"110","Brandon Jennings",33.9,"Ersan Ilyasova",33.2,30.7,3,"MISS","NO",2.5
"111","No Pass",0,"0",0,0,0,"0","0",0
"112","Stanley Johnson",6.6,"Brandon Jennings",5.3,1.3,3,"MAKE","NO",4
"113","Shabazz Napier",664.7,"Andrew Nicholson",663.4,658.3,4,"MAKE","NO",5.10000000000002
"114","Shabazz Napier",631.3,"Jason Smith",630.5,630.4,4,"MISS","NO",0.100000000000023
"115","Brandon Jennings",624.6,"Stanley Johnson",623.7,623,4,"MISS","NO",0.700000000000045
"116","Shabazz Napier",609.8,"Jason Smith",608.8,608.6,4,"MISS","NO",0.199999999999932
"117","Stanley Johnson",604.6,"Brandon Jennings",603.6,600.9,4,"MISS","NO",2.70000000000005
"118","Stanley Johnson",604.6,"Aron Baynes",603.6,599.6,4,"MAKE","NO",4
"119","Shabazz Napier",583.8,"Jason Smith",583.2,581.2,4,"MISS","NO",2
"120","Brandon Jennings",552,"Anthony Tolliver",550.9,550.7,4,"MISS","NO",0.199999999999932
"121","Aron Baynes",545.4,"Anthony Tolliver",544.8,544,4,"MAKE","YES",0.799999999999955
"122","No Pass",0,"0",0,0,0,"0","0",0
"123","Aron Baynes",517.6,"Brandon Jennings",517.1,513.4,4,"MISS","NO",3.70000000000005
"124","Brandon Jennings",482.2,"Kentavious Caldwell-Pope",481.6,480.8,4,"MAKE","YES",0.800000000000011
"125","No Pass",0,"0",0,0,0,"0","0",0
"126","Brandon Jennings",461,"Kentavious Caldwell-Pope",460.3,459.7,4,"MAKE","YES",0.600000000000023
"127","No Pass",0,"0",0,0,0,"0","0",0
"128","No Pass",0,"0",0,0,0,"0","0",0
"129","Aaron Gordon",416.5,"Andrew Nicholson",415.2,410.1,4,"MISS","NO",5.09999999999997
"130","Stanley Johnson",407.8,"Brandon Jennings",406.4,404,4,"MAKE","NO",2.39999999999998
"131","No Pass",0,"0",0,0,0,"0","0",0
"132","Aron Baynes",383.1,"Brandon Jennings",382.3,379.6,4,"MISS","NO",2.69999999999999
"133","Dewayne Dedmon",376.6,"Shabazz Napier",376,371.7,4,"MISS","NO",4.30000000000001
"134","Aron Baynes",358.5,"Kentavious Caldwell-Pope",356.2,356,4,"MISS","NO",0.199999999999989
"135","Kentavious Caldwell-Pope",355.9,"Stanley Johnson",353.5,353,4,"MISS","NO",0.5
"136","No Pass",0,"0",0,0,0,"0","0",0
"137","Anthony Tolliver",313.1,"Brandon Jennings",312.5,312,4,"MAKE","YES",0.5
"138","No Pass",0,"0",0,0,0,"0","0",0
"139","Anthony Tolliver",268.5,"Brandon Jennings",267.7,266.9,4,"MISS","NO",0.800000000000011
"140","Aron Baynes",263.4,"Kentavious Caldwell-Pope",262.9,259.7,4,"MISS","NO",3.19999999999999
"141","Mario Hezonja",247.8,"Aaron Gordon",246.4,245.7,4,"MISS","NO",0.700000000000017
"142","Andrew Nicholson",215.9,"Shabazz Napier",215.4,214.6,4,"MISS","NO",0.800000000000011
"143","Dewayne Dedmon",212.6,"Mario Hezonja",212.1,208,4,"MISS","NO",4.09999999999999
"144","Joel Anthony",196.7,"Reggie Bullock",194.9,194.8,4,"MISS","NO",0.0999999999999943
"145","Anthony Tolliver",125.6,"Darrun Hilliard",124.9,121.1,4,"MISS","NO",3.80000000000001
"146","Reggie Bullock",119.5,"Anthony Tolliver",117.7,117.6,4,"MAKE","YES",0.100000000000009
"147","No Pass",0,"0",0,0,0,"0","0",0
"148","Steve Blake",96.7,"Anthony Tolliver",96.1,95.5,4,"MAKE","YES",0.599999999999994
"149","Andrew Nicholson",82.4,"Shabazz Napier",81.8,81.1,4,"MAKE","YES",0.700000000000003
"150","Anthony Tolliver",64.9,"Steve Blake",64.3,63.8,4,"MISS","NO",0.5
"151","Mario Hezonja",49.7,"Shabazz Napier",49,48.3,4,"MISS","NO",0.700000000000003
"152","Mario Hezonja",14.2,"Andrew Nicholson",13.3,8.2,4,"MAKE","NO",5.1
