"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"51","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,21,"00:05:19","00:06:41","00:00:08",55,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Alley Oop Dunk",0,0,1,25,88.9,"Drummond  Alley Oop Dunk (6 PTS) (Jackson 2 AST)"
"52","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,21,"00:05:02","00:06:58","00:00:17",56,"ORL","miss","","","","","","",NA,"",NA,"Victor Oladipo",0,"","","missed","","Jump Shot",20,-147,131,39.7,18.1,"MISS Oladipo 20' Jump Shot"
"54","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,21,"00:04:52","00:07:08","00:00:10",58,"DET","miss","","","","","","",NA,"",NA,"Marcus Morris",0,"","","missed","","Running Jump Shot",13,-119,47,13.1,84.3,"MISS Marc Morris 13' Running Jump Shot"
"56","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,8,21,"00:04:40","00:07:20","00:00:10",60,"ORL","shot","","","","","","",NA,"",NA,"Victor Oladipo",2,"","","made","","Layup",0,-1,-1,25.1,4.9,"Oladipo  Layup (2 PTS)"
"62","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,12,21,"00:04:00","00:08:00","00:00:22",66,"ORL","shot","Tobias Harris","","","","","",NA,"",NA,"Andrew Nicholson",3,"","","made","","Jump Shot",26,87,247,16.3,29.7,"Nicholson 26' 3PT Jump Shot (3 PTS) (Harris 1 AST)"
"63","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,12,21,"00:03:38","00:08:22","00:00:22",67,"DET","miss","","","","","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Jump Shot",27,115,239,36.5,65.1,"MISS Jackson 27' 3PT Jump Shot"
"65","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,14,21,"00:03:19","00:08:41","00:00:19",70,"ORL","shot","","","","","","",NA,"",NA,"Andrew Nicholson",2,"","","made","","Hook Shot",7,68,16,18.2,6.6,"Nicholson 7' Hook Shot (5 PTS)"
"66","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,14,23,"00:03:06","00:08:54","00:00:13",71,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Layup",0,-2,2,24.8,88.8,"Drummond  Layup (8 PTS) (Jackson 3 AST)"
"67","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,17,23,"00:02:42","00:09:18","00:00:24",72,"ORL","shot","Nikola Vucevic","","","","","",NA,"",NA,"Shabazz Napier",3,"","","made","","Jump Shot",26,110,237,14,28.7,"Napier 26' 3PT Jump Shot (3 PTS) (Vucevic 1 AST)"
"68","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,17,26,"00:02:20","00:09:40","00:00:22",73,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Stanley Johnson",3,"","","made","","Jump Shot",25,164,188,41.4,70.2,"Johnson 25' 3PT Jump Shot (3 PTS) (Jackson 4 AST)"
"69","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,19,26,"00:01:57","00:10:03","00:00:23",74,"ORL","shot","","","","","","",NA,"",NA,"Victor Oladipo",2,"","","made","","Driving Dunk",0,0,1,25,5.1,"Oladipo  Driving Dunk (5 PTS)"
"70","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,19,26,"00:01:45","00:10:15","00:00:12",75,"DET","miss","","","","","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Jump Shot",9,-76,46,17.4,84.4,"MISS Jackson 9' Jump Shot"
"72","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",1,19,28,"00:01:40","00:10:20","00:00:05",77,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Alley Oop Dunk",0,0,1,25,88.9,"Drummond  Alley Oop Dunk (10 PTS) (Jackson 5 AST)"
"83","=""0021500514""","2015-2016 Regular Season","2016-01-04","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Marcus Morris","Ersan Ilyasova","Andre Drummond","Stanley Johnson","Brandon Jennings",1,21,31,"00:00:25","00:11:35","00:00:14",92,"DET","shot","Stanley Johnson","","","","","",NA,"",NA,"Ersan Ilyasova",3,"","","made","","Jump Shot",26,-142,213,10.8,67.7,"Ilyasova 26' 3PT Jump Shot (5 PTS) (Johnson 1 AST)"
"84","=""0021500514""","2015-2016 Regular Season","2016-01-04","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Marcus Morris","Ersan Ilyasova","Andre Drummond","Stanley Johnson","Brandon Jennings",1,23,31,"00:00:02","00:11:58","00:00:23",93,"ORL","shot","","","","","","",NA,"",NA,"Victor Oladipo",2,"","","made","","Driving Layup",1,-9,-6,25.9,4.4,"Oladipo 1' Driving Layup (7 PTS)"
"89","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,25,31,"00:11:39","00:00:21","00:00:21",99,"ORL","shot","","","","","","",NA,"",NA,"Andrew Nicholson",2,"","","made","","Finger Roll Layup",1,-4,-5,25.4,4.5,"Nicholson 1' Finger Roll Layup (7 PTS)"
