"","player","global_ID","player_ID","team","team_abr","team_code","position_name","position_code","jersey_number","experience","rookie_year","birth_year","college","height_inch","weight_lbs"
"1","Kyle Korver","58293","3754","Atlanta Hawks","ATL","1","Shooting Guard","2","26","13","2003","1981","Creighton","79","212"
"2","Dwight Howard","253975","3818","Atlanta Hawks","ATL","1","Center","9","8","12","2004","1985","None","83","265"
"3","Kris Humphries","229649","3831","Atlanta Hawks","ATL","1","Power Forward","6","43","12","2004","1985","Minnesota","81","235"
"4","Jarrett Jack","178537","3948","Atlanta Hawks","ATL","1","Point Guard","1","2","11","2005","1983","Georgia Tech","75","200"
"5","Thabo Sefolosha","329187","4141","Atlanta Hawks","ATL","1","Small Forward","5","25","10","2006","1984","None","79","220"
"6","Paul Millsap","237675","4175","Atlanta Hawks","ATL","1","Power Forward","6","4","10","2006","1985","Louisiana Tech","80","246"
"7","Tiago Splitter","393436","4306","Atlanta Hawks","ATL","1","Center","9","11","6","2010","1985","None","83","245"
"8","Mike Scott","398034","5077","Atlanta Hawks","ATL","1","Power Forward","6","32","4","2012","1988","Virginia","80","237"
"9","Kent Bazemore","410764","5102","Atlanta Hawks","ATL","1","Small Forward","5","24","4","2012","1989","Old Dominion","77","201"
"10","Dennis Schroder","739958","5187","Atlanta Hawks","ATL","1","Point Guard","1","17","3","2013","1993","None","73","172"
"11","Tim Hardaway Jr.","551771","5194","Atlanta Hawks","ATL","1","Shooting Guard","2","10","3","2013","1992","Michigan","78","205"
"12","Mike Muscala","520388","5214","Atlanta Hawks","ATL","1","Center","9","31","3","2013","1991","Bucknell","83","240"
"13","Walter Tavares","830651","5354","Atlanta Hawks","ATL","1","Center","9","22","1","2015","1992","None","87","265"
"14","Taurean Prince","696209","5643","Atlanta Hawks","ATL","1","Small Forward","5","12","0","2016","1994","Baylor","80","220"
"15","DeAndre' Bembry","795428","5652","Atlanta Hawks","ATL","1","Small Forward","5","21","0","2016","1994","St. Joseph's","78","210"
"16","Malcolm Delaney","401629","5696","Atlanta Hawks","ATL","1","Shooting Guard","2","19","0","2016","1989","Virginia Tech","75","190"
"17","Matt Costello","712592","5718","Atlanta Hawks","ATL","1","Power Forward","6","37","0","2016","1993","Michigan State","81","245"
"18","Gerald Green","292391","3944","Boston Celtics","BOS","2","Shooting Guard","2","30","9","2005","1986","None","80","205"
"19","Amir Johnson","292407","3982","Boston Celtics","BOS","2","Power Forward","6","90","11","2005","1987","None","81","249"
"20","Al Horford","280587","4245","Boston Celtics","BOS","2","Center","9","42","9","2007","1986","Florida","82","245"
"21","Jonas Jerebko","503807","4644","Boston Celtics","BOS","2","Power Forward","6","8","6","2009","1987","None","82","231"
"22","Avery Bradley","513607","4750","Boston Celtics","BOS","2","Shooting Guard","2","0","6","2010","1990","Texas","74","180"
"23","Isaiah Thomas","457605","4942","Boston Celtics","BOS","2","Point Guard","1","4","5","2011","1989","Washington","69","185"
"24","Tyler Zeller","462461","5023","Boston Celtics","BOS","2","Center","9","44","4","2012","1990","North Carolina","84","250"
"25","Jae Crowder","552381","5068","Boston Celtics","BOS","2","Small Forward","5","99","4","2012","1990","Marquette","78","235"
"26","Kelly Olynyk","514882","5164","Boston Celtics","BOS","2","Center","9","41","3","2013","1991","Gonzaga","84","238"
"27","Marcus Smart","697132","5317","Boston Celtics","BOS","2","Point Guard","1","36","2","2014","1994","Oklahoma State","76","220"
"28","James Young","786406","5328","Boston Celtics","BOS","2","Shooting Guard","2","13","2","2014","1995","Kentucky","78","215"
"29","John Holland","409834","5408","Boston Celtics","BOS","2","Shooting Guard","2","39","0","2015","1988","Boston University","77","205"
"30","Terry Rozier","786293","5476","Boston Celtics","BOS","2","Point Guard","1","12","1","2015","1994","Louisville","73","190"
"31","R.J. Hunter","691716","5488","Boston Celtics","BOS","2","Shooting Guard","2","28","1","2015","1993","Georgia State","78","190"
"32","Jordan Mickey","745825","5493","Boston Celtics","BOS","2","Power Forward","6","55","1","2015","1994","LSU","80","235"
"33","Jaylen Brown","883436","5602","Boston Celtics","BOS","2","Small Forward","5","7","0","2016","1996","California","79","225"
"34","Guerschon Yabusele","920087","5647","Boston Celtics","BOS","2","Power Forward","6","16","0","2016","1995","None","80","270"
"35","Ante Zizic","920089","5654","Boston Celtics","BOS","2","Center","9","23","0","2016","1997","None","84","249"
"36","Demetrius Jackson","746335","5676","Boston Celtics","BOS","2","Point Guard","1","9","0","2016","1994","Notre Dame","73","201"
"37","Ben Bentil","843826","5682","Boston Celtics","BOS","2","Power Forward","6","21","0","2016","1995","Providence","81","235"
"38","Abdel Nader","610597","5689","Boston Celtics","BOS","2","Power Forward","6","58","0","2016","1993","Iowa State","78","225"
"39","Jalen Jones","606361","5732","Boston Celtics","BOS","2","Small Forward","5","12","0","2016","1993","Texas A&M","79","223"
"40","Damion Lee","609081","5733","Boston Celtics","BOS","2","Shooting Guard","2","60","0","2016","1992","Louisville","78","210"
"41","Luis Scola","168061","3653","Brooklyn Nets","BKN","17","Power Forward","6","4","9","2007","1980","None","81","240"
"42","Randy Foye","172692","4135","Brooklyn Nets","BKN","17","Point Guard","1","2","10","2006","1983","Villanova","76","213"
"43","Brook Lopez","330047","4472","Brooklyn Nets","BKN","17","Center","9","11","8","2008","1988","Stanford","84","275"
"44","Trevor Booker","330453","4754","Brooklyn Nets","BKN","17","Power Forward","6","35","6","2010","1987","Clemson","80","230"
"45","Greivis Vasquez","332666","4759","Brooklyn Nets","BKN","17","Point Guard","1","21","6","2010","1987","Maryland","78","200"
"46","Jeremy Lin","340730","4795","Brooklyn Nets","BKN","17","Point Guard","1","7","6","2010","1988","Harvard","75","200"
"47","Bojan Bogdanovic","599812","4913","Brooklyn Nets","BKN","17","Shooting Guard","2","44","2","2014","1989","None","80","216"
"48","Justin Hamilton","458718","5079","Brooklyn Nets","BKN","17","Center","9","41","2","2013","1990","LSU","84","255"
"49","Anthony Bennett","703474","5152","Brooklyn Nets","BKN","17","Small Forward","5","13","3","2013","1993","UNLV","80","245"
"50","Joe Harris","549969","5344","Brooklyn Nets","BKN","17","Shooting Guard","2","19","2","2014","1991","Virginia","78","219"
"51","Markel Brown","553184","5355","Brooklyn Nets","BKN","17","Shooting Guard","2","22","2","2014","1992","Oklahoma State","75","185"
"52","Sean Kilpatrick","511055","5428","Brooklyn Nets","BKN","17","Shooting Guard","2","6","2","2014","1990","Cincinnati","76","210"
"53","Rondae Hollis-Jefferson","750654","5483","Brooklyn Nets","BKN","17","Shooting Guard","2","24","1","2015","1995","Arizona","79","210"
"54","Chris McCullough","851153","5489","Brooklyn Nets","BKN","17","Power Forward","6","1","1","2015","1995","Syracuse","81","210"
"55","Caris LeVert","698991","5651","Brooklyn Nets","BKN","17","Shooting Guard","2","22","0","2016","1994","Michigan","79","205"
"56","Isaiah Whitehead","843834","5673","Brooklyn Nets","BKN","17","Shooting Guard","2","15","0","2016","1995","Seton Hall","76","210"
"57","Beau Beech","679359","5719","Brooklyn Nets","BKN","17","Shooting Guard","2","41","0","2016","1994","North Florida","81","215"
"58","Yogi Ferrell","698635","5720","Brooklyn Nets","BKN","17","Point Guard","1","37","0","2016","1993","Indiana","72","180"
"59","Egidijus Mockevicius","715504","5721","Brooklyn Nets","BKN","17","Center","9","59","0","2016","1992","Evansville","82","225"
"60","Marvin Williams","263884","3928","Charlotte Hornets","CHA","30","Power Forward","6","2","11","2005","1986","North Carolina","81","237"
"61","Spencer Hawes","329824","4288","Charlotte Hornets","CHA","30","Center","9","00","9","2007","1988","Washington","85","245"
"62","Marco Belinelli","393434","4296","Charlotte Hornets","CHA","30","Shooting Guard","2","33","9","2007","1986","None","77","215"
"63","Ramon Sessions","278479","4333","Charlotte Hornets","CHA","30","Point Guard","1","7","9","2007","1986","Nevada","75","190"
"64","Roy Hibbert","266369","4479","Charlotte Hornets","CHA","30","Center","9","55","8","2008","1986","Georgetown","86","270"
"65","Nicolas Batum","456451","4487","Charlotte Hornets","CHA","30","Shooting Guard","2","5","8","2008","1988","None","80","200"
"66","Kemba Walker","462980","4890","Charlotte Hornets","CHA","30","Point Guard","1","15","5","2011","1990","Connecticut","73","184"
"67","Michael Kidd-Gilchrist","603095","5008","Charlotte Hornets","CHA","30","Small Forward","5","14","4","2012","1993","Kentucky","79","232"
"68","Jeremy Lamb","552980","5018","Charlotte Hornets","CHA","30","Shooting Guard","2","3","4","2012","1992","Connecticut","77","185"
"69","Brian Roberts","263565","5105","Charlotte Hornets","CHA","30","Point Guard","1","22","4","2012","1985","Dayton","73","173"
"70","Cody Zeller","602028","5155","Charlotte Hornets","CHA","30","Center","9","40","3","2013","1992","Indiana","84","240"
"71","Jorge Gutierrez","457350","5265","Charlotte Hornets","CHA","30","Point Guard","1","12","3","2013","1988","California","75","195"
"72","Frank Kaminsky","606731","5469","Charlotte Hornets","CHA","30","Center","9","44","1","2015","1993","Wisconsin","84","242"
"73","Aaron Harrison","786407","5523","Charlotte Hornets","CHA","30","Point Guard","1","9","1","2015","1994","Kentucky","78","212"
"74","Treveon Graham","609818","5539","Charlotte Hornets","CHA","30","Shooting Guard","2","30","0","2016","1993","Virginia Commonwealth","78","219"
"75","Christian Wood","750924","5583","Charlotte Hornets","CHA","30","Power Forward","6","35","1","2015","1995","UNLV","83","220"
"76","Mike Tobey","697969","5702","Charlotte Hornets","CHA","30","Center","9","56","0","2016","1994","Virginia","84","260"
"77","Andrew Andrews","607529","5715","Charlotte Hornets","CHA","30","Point Guard","1","1","0","2016","1993","Washington","74","200"
"78","Rasheed Sulaimon","696289","5716","Charlotte Hornets","CHA","30","Shooting Guard","2","6","0","2016","1994","Maryland","76","190"
"79","Dwyane Wade","61849","3708","Chicago Bulls","CHI","4","Shooting Guard","2","3","13","2003","1982","Marquette","76","220"
"80","Rajon Rondo","262882","4149","Chicago Bulls","CHI","4","Point Guard","1","9","10","2006","1986","Kentucky","73","186"
"81","Robin Lopez","330050","4477","Chicago Bulls","CHI","4","Center","9","8","8","2008","1988","Stanford","84","265"
"82","Taj Gibson","330057","4631","Chicago Bulls","CHI","4","Power Forward","6","22","7","2009","1985","USC","81","235"
"83","Nikola Mirotic","599809","4905","Chicago Bulls","CHI","4","Power Forward","6","44","2","2014","1991","None","82","220"
"84","Jimmy Butler","458730","4912","Chicago Bulls","CHI","4","Shooting Guard","2","21","5","2011","1989","Marquette","79","230"
"85","Tony Snell","550991","5190","Chicago Bulls","CHI","4","Small Forward","5","20","3","2013","1991","New Mexico","79","200"
"86","Isaiah Canaan","509094","5204","Chicago Bulls","CHI","4","Point Guard","1","0","3","2013","1991","Murray State","72","201"
"87","Doug McDermott","554804","5322","Chicago Bulls","CHI","4","Small Forward","5","11","2","2014","1992","Creighton","80","223"
"88","Spencer Dinwiddie","602411","5349","Chicago Bulls","CHI","4","Point Guard","1","18","2","2014","1993","Colorado","78","200"
"89","Jerian Grant","552319","5479","Chicago Bulls","CHI","4","Point Guard","1","13","1","2015","1992","Notre Dame","76","198"
"90","Bobby Portis","750703","5482","Chicago Bulls","CHI","4","Power Forward","6","5","1","2015","1995","Arkansas","83","250"
"91","Cristiano Felicio","839018","5522","Chicago Bulls","CHI","4","Center","9","6","1","2015","1992","None","81","270"
"92","Denzel Valentine","712595","5645","Chicago Bulls","CHI","4","Small Forward","5","14","0","2016","1993","Michigan State","77","220"
"93","Paul Zipser","920098","5679","Chicago Bulls","CHI","4","Small Forward","5","48","0","2016","1994","None","78","210"
"94","Richard Jefferson","3504","3523","Cleveland Cavaliers","CLE","5","Small Forward","5","24","15","2001","1980","Arizona","79","233"
"95","Chris Andersen","75344","3598","Cleveland Cavaliers","CLE","5","Center","9","00","14","2001","1978","Blinn (TX) JC","82","245"
"96","Mike Dunleavy","168066","3601","Cleveland Cavaliers","CLE","5","Small Forward","5","3","14","2002","1980","Duke","81","220"
"97","LeBron James","214152","3704","Cleveland Cavaliers","CLE","5","Small Forward","5","23","13","2003","1984","None","80","250"
"98","Mo Williams","65834","3750","Cleveland Cavaliers","CLE","5","Point Guard","1","52","13","2003","1982","Alabama","73","198"
"99","James Jones","58360","3752","Cleveland Cavaliers","CLE","5","Shooting Guard","2","1","13","2003","1980","Miami (FL)","80","218"
"100","Channing Frye","65871","3934","Cleveland Cavaliers","CLE","5","Power Forward","6","9","10","2005","1983","Arizona","83","255"
"101","Kevin Love","395374","4391","Cleveland Cavaliers","CLE","5","Power Forward","6","0","8","2008","1988","UCLA","82","251"
"102","Kyrie Irving","551768","4840","Cleveland Cavaliers","CLE","5","Point Guard","1","2","5","2011","1992","Duke","75","193"
"103","Tristan Thompson","552806","4884","Cleveland Cavaliers","CLE","5","Power Forward","6","13","5","2011","1991","Texas","82","238"
"104","Iman Shumpert","457186","4898","Cleveland Cavaliers","CLE","5","Shooting Guard","2","4","5","2011","1990","Georgia Tech","77","220"
"105","Jordan McRae","552530","5370","Cleveland Cavaliers","CLE","5","Shooting Guard","2","12","1","2015","1991","Tennessee","78","185"
"106","Kay Felder","789776","5685","Cleveland Cavaliers","CLE","5","Point Guard","1","20","0","2016","1995","Oakland","69","176"
"107","Dirk Nowitzki","3234","3252","Dallas Mavericks","DAL","6","Power Forward","6","41","18","1998","1978","None","84","245"
"108","Devin Harris","65820","3822","Dallas Mavericks","DAL","6","Point Guard","1","34","12","2004","1983","Wisconsin","75","185"
"109","Andrew Bogut","229912","3927","Dallas Mavericks","DAL","6","Center","9","6","11","2005","1984","Utah","84","260"
"110","Deron Williams","172537","3929","Dallas Mavericks","DAL","6","Point Guard","1","8","11","2005","1984","Illinois","75","200"
"111","J.J. Barea","173520","4203","Dallas Mavericks","DAL","6","Point Guard","1","5","10","2006","1984","Northeastern","72","185"
"112","Wesley Matthews","295809","4694","Dallas Mavericks","DAL","6","Shooting Guard","2","23","7","2009","1986","Marquette","77","220"
"113","Harrison Barnes","552336","5013","Dallas Mavericks","DAL","6","Small Forward","5","40","4","2012","1992","North Carolina","80","225"
"114","Quincy Acy","469234","5071","Dallas Mavericks","DAL","6","Power Forward","6","4","4","2012","1990","Baylor","79","240"
"115","Seth Curry","463135","5245","Dallas Mavericks","DAL","6","Point Guard","1","30","3","2013","1990","Duke","74","185"
"116","Dwight Powell","552309","5356","Dallas Mavericks","DAL","6","Power Forward","6","7","2","2014","1991","Stanford","83","240"
"117","Justin Anderson","697982","5481","Dallas Mavericks","DAL","6","Small Forward","5","1","1","2015","1993","Virginia","78","228"
"118","Salah Mejri","555263","5536","Dallas Mavericks","DAL","6","Center","9","50","1","2015","1986","None","86","235"
"119","A.J. Hammons","691488","5677","Dallas Mavericks","DAL","6","Center","9","20","0","2016","1992","Purdue","84","250"
"120","Dorian Finney-Smith","606701","5693","Dallas Mavericks","DAL","6","Power Forward","6","10","0","2016","1993","Florida","80","220"
"121","Jonathan Gibson","333196","5698","Dallas Mavericks","DAL","6","Shooting Guard","2","47","0","2016","1987","New Mexico State","74","185"
"122","Nicolas Brussino","922594","5699","Dallas Mavericks","DAL","6","Shooting Guard","2","53","0","2016","1993","None","79","195"
"123","Kyle Collinsworth","555599","5700","Dallas Mavericks","DAL","6","Shooting Guard","2","57","0","2016","1991","Brigham Young","78","215"
"124","Mike Miller","3385","3404","Denver Nuggets","DEN","7","Shooting Guard","2","3","16","2000","1980","Florida","80","218"
"125","Jameer Nelson","61934","3837","Denver Nuggets","DEN","7","Point Guard","1","1","12","2004","1982","St. Joseph's","72","200"
"126","Wilson Chandler","295941","4301","Denver Nuggets","DEN","7","Small Forward","5","21","8","2007","1987","DePaul","80","225"
"127","Danilo Gallinari","456448","4468","Denver Nuggets","DEN","7","Small Forward","5","8","7","2008","1988","None","82","225"
"128","Darrell Arthur","330347","4489","Denver Nuggets","DEN","7","Power Forward","6","00","7","2008","1988","Kansas","81","235"
"129","Kenneth Faried","411111","4904","Denver Nuggets","DEN","7","Power Forward","6","35","5","2011","1989","Morehead State","80","228"
"130","D.J. Kennedy","401680","5006","Denver Nuggets","DEN","7","Shooting Guard","2","12","1","2011","1989","St. John's","78","215"
"131","Will Barton","551760","5074","Denver Nuggets","DEN","7","Shooting Guard","2","5","4","2012","1991","Memphis","78","175"
"132","Robbie Hummel","398421","5092","Denver Nuggets","DEN","7","Small Forward","5","4","2","2013","1989","Purdue","80","220"
"133","Nate Wolters","523820","5208","Denver Nuggets","DEN","7","Point Guard","1","4","2","2013","1991","South Dakota State","76","190"
"134","Jusuf Nurkic","830642","5327","Denver Nuggets","DEN","7","Center","9","23","2","2014","1994","None","84","280"
"135","Gary Harris","712593","5330","Denver Nuggets","DEN","7","Shooting Guard","2","14","2","2014","1994","Michigan State","76","210"
"136","Jarnell Stokes","639269","5346","Denver Nuggets","DEN","7","Power Forward","6","12","2","2014","1994","Tennessee","81","263"
"137","Nikola Jokic","830650","5352","Denver Nuggets","DEN","7","Center","9","15","1","2015","1995","None","82","250"
"138","Jakarr Sampson","609848","5417","Denver Nuggets","DEN","7","Small Forward","5","9","2","2014","1993","St. John's","81","214"
"139","Emmanuel Mudiay","877870","5467","Denver Nuggets","DEN","7","Point Guard","1","0","1","2015","1996","None","77","200"
"140","Axel Toupane","880954","5528","Denver Nuggets","DEN","7","Small Forward","5","6","1","2015","1992","None","79","210"
"141","Jamal Murray","891352","5638","Denver Nuggets","DEN","7","Shooting Guard","2","7","0","2016","1997","Kentucky","76","207"
"142","Juan Hernangomez","920082","5646","Denver Nuggets","DEN","7","Power Forward","6","55","0","2016","1995","None","81","220"
"143","Malik Beasley","879503","5650","Denver Nuggets","DEN","7","Point Guard","1","19","0","2016","1996","Florida State","77","196"
"144","Petr Cornelie","920099","5684","Denver Nuggets","DEN","7","Power Forward","6","43","0","2016","1995","None","83","220"
"145","Joel Anthony","265013","4339","Detroit Pistons","DET","8","Power Forward","6","50","9","2007","1982","UNLV","81","245"
"146","Ish Smith","329873","4800","Detroit Pistons","DET","8","Point Guard","1","14","6","2010","1988","Wake Forest","72","175"
"147","Marcus Morris","469089","4895","Detroit Pistons","DET","8","Small Forward","5","13","5","2011","1989","Kansas","81","235"
"148","Tobias Harris","552523","4901","Detroit Pistons","DET","8","Small Forward","5","34","5","2011","1992","Tennessee","81","235"
"149","Reggie Jackson","462444","4906","Detroit Pistons","DET","8","Point Guard","1","1","5","2011","1990","Boston College","75","208"
"150","Jon Leuer","398090","4922","Detroit Pistons","DET","8","Power Forward","6","30","5","2011","1989","Wisconsin","82","228"
"151","Andre Drummond","614746","5015","Detroit Pistons","DET","8","Center","9","0","4","2012","1993","Connecticut","83","279"
"152","Aron Baynes","296379","5150","Detroit Pistons","DET","8","Center","9","12","4","2012","1986","Washington State","82","260"
"153","Kentavious Caldwell-Pope","602730","5159","Detroit Pistons","DET","8","Shooting Guard","2","5","3","2013","1993","Georgia","77","205"
"154","Reggie Bullock","552335","5195","Detroit Pistons","DET","8","Small Forward","5","25","3","2013","1991","North Carolina","79","205"
"155","Ray McCallum","567408","5206","Detroit Pistons","DET","8","Point Guard","1","15","3","2013","1991","Detroit","75","190"
"156","Lorenzo Brown","502908","5222","Detroit Pistons","DET","8","Point Guard","1","17","3","2013","1990","North Carolina State","77","186"
"157","Cameron Bairstow","550992","5360","Detroit Pistons","DET","8","Power Forward","6","41","2","2014","1990","New Mexico","81","260"
"158","Stanley Johnson","844331","5468","Detroit Pistons","DET","8","Small Forward","5","3","1","2015","1996","Arizona","79","245"
"159","Darrun Hilliard","601538","5498","Detroit Pistons","DET","8","Shooting Guard","2","6","1","2015","1993","Villanova","78","205"
"160","Boban Marjanovic","553331","5524","Detroit Pistons","DET","8","Center","9","51","1","2015","1988","None","87","290"
"161","Henry Ellenson","882284","5649","Detroit Pistons","DET","8","Power Forward","6","8","0","2016","1997","Marquette","83","245"
"162","Michael Gbinije","601142","5680","Detroit Pistons","DET","8","Small Forward","5","9","0","2016","1992","Syracuse","79","200"
"163","David West","57934","3721","Golden State Warriors","GS","9","Power Forward","6","3","13","2003","1980","Xavier","81","240"
"164","Zaza Pachulia","214168","3745","Golden State Warriors","GS","9","Center","9","27","13","2003","1984","None","83","275"
"165","Shaun Livingston","253980","3821","Golden State Warriors","GS","9","Point Guard","1","34","11","2004","1985","None","79","182"
"166","Andre Iguodala","173004","3826","Golden State Warriors","GS","9","Small Forward","5","9","12","2004","1984","Arizona","78","207"
"167","Anderson Varejao","254009","3847","Golden State Warriors","GS","9","Center","9","18","12","2004","1982","None","83","273"
"168","Kevin Durant","329525","4244","Golden State Warriors","GS","9","Small Forward","5","35","9","2007","1988","Texas","81","240"
"169","JaVale McGee","333212","4480","Golden State Warriors","GS","9","Center","9","11","8","2008","1988","Nevada","84","270"
"170","Stephen Curry","338365","4612","Golden State Warriors","GS","9","Point Guard","1","30","7","2009","1988","Davidson","75","190"
"171","Elliot Williams","467272","4753","Golden State Warriors","GS","9","Shooting Guard","2","25","4","2010","1989","Memphis","77","180"
"172","Klay Thompson","457611","4892","Golden State Warriors","GS","9","Shooting Guard","2","11","5","2011","1990","Washington State","79","215"
"173","Draymond Green","468895","5069","Golden State Warriors","GS","9","Power Forward","6","23","4","2012","1990","Michigan State","79","230"
"174","Phil Pressey","552183","5233","Golden State Warriors","GS","9","Point Guard","1","26","3","2013","1991","Missouri","71","180"
"175","Ian Clark","504523","5237","Golden State Warriors","GS","9","Shooting Guard","2","21","3","2013","1991","Belmont","75","175"
"176","Cameron Jones","411181","5257","Golden State Warriors","GS","9","Shooting Guard","2","6","0","2016","1989","Northern Arizona","76","195"
"177","James Michael McAdoo","609569","5385","Golden State Warriors","GS","9","Power Forward","6","20","2","2014","1993","North Carolina","81","230"
"178","Kevon Looney","846499","5490","Golden State Warriors","GS","9","Power Forward","6","5","1","2015","1996","UCLA","81","220"
"179","Damian Jones","745922","5661","Golden State Warriors","GS","9","Center","9","15","0","2016","1995","Vanderbilt","84","245"
"180","Patrick McCaw","847005","5669","Golden State Warriors","GS","9","Shooting Guard","2","0","0","2016","1995","UNLV","79","185"
"181","Elgin Cook","743703","5734","Golden State Warriors","GS","9","Small Forward","5","2","0","2016","1993","Oregon","78","205"
"182","Nene","168013","3605","Houston Rockets","HOU","10","Power Forward","6","42","14","2002","1982","None","83","250"
"183","Trevor Ariza","229738","3860","Houston Rockets","HOU","10","Small Forward","5","1","12","2004","1985","UCLA","80","215"
"184","Corey Brewer","263217","4285","Houston Rockets","HOU","10","Small Forward","5","33","9","2007","1986","Florida","81","186"
"185","Michael Beasley","405345","4388","Houston Rockets","HOU","10","Small Forward","5","8","8","2008","1989","Kansas State","82","235"
"186","Eric Gordon","401085","4469","Houston Rockets","HOU","10","Shooting Guard","2","10","8","2008","1988","Indiana","76","215"
"187","Ryan Anderson","329715","4483","Houston Rockets","HOU","10","Power Forward","6","3","8","2008","1988","California","82","240"
"188","James Harden","395388","4563","Houston Rockets","HOU","10","Shooting Guard","2","13","7","2009","1989","Arizona State","77","220"
"189","Patrick Beverley","332691","4647","Houston Rockets","HOU","10","Point Guard","1","2","4","2012","1988","Arkansas","73","185"
"190","Donatas Motiejunas","599805","4902","Houston Rockets","HOU","10","Power Forward","6","20","4","2012","1990","None","84","222"
"191","Andrew Goudelock","410116","4928","Houston Rockets","HOU","10","Point Guard","1","0","3","2011","1988","Charleston","74","200"
"192","Pablo Prigioni","552599","5098","Houston Rockets","HOU","10","Point Guard","1","9","4","2012","1977","None","75","185"
"193","Clint Capela","830647","5336","Houston Rockets","HOU","10","Power Forward","6","15","2","2014","1994","None","82","240"
"194","K.J. McDaniels","604734","5343","Houston Rockets","HOU","10","Small Forward","5","32","2","2014","1993","Clemson","78","205"
"195","Sam Dekker","691518","5478","Houston Rockets","HOU","10","Small Forward","5","7","1","2015","1994","Wisconsin","81","230"
"196","Montrezl Harrell","698651","5492","Houston Rockets","HOU","10","Power Forward","6","35","1","2015","1994","Louisville","80","240"
"197","Chinanu Onuaku","846386","5668","Houston Rockets","HOU","10","Center","9","57","0","2016","1996","Louisville","82","245"
"198","Zhou Qi","908263","5674","Houston Rockets","HOU","10","Power Forward","6","43","0","2016","1996","None","85","209"
"199","Al Jefferson","253995","3832","Indiana Pacers","IND","11","Center","9","7","12","2004","1985","None","82","289"
"200","C.J. Miles","292394","3960","Indiana Pacers","IND","11","Small Forward","5","0","11","2005","1987","None","78","225"
"201","Monta Ellis","292397","3966","Indiana Pacers","IND","11","Shooting Guard","2","11","11","2005","1985","None","75","185"
"202","Thaddeus Young","329683","4290","Indiana Pacers","IND","11","Power Forward","6","21","9","2007","1988","Georgia Tech","80","220"
"203","Rodney Stuckey","278110","4293","Indiana Pacers","IND","11","Shooting Guard","2","2","9","2007","1986","Eastern Washington","77","210"
"204","Aaron Brooks","229726","4304","Indiana Pacers","IND","11","Point Guard","1","00","8","2007","1985","Oregon","72","185"
"205","Jeff Teague","398043","4624","Indiana Pacers","IND","11","Point Guard","1","44","7","2009","1988","Wake Forest","74","186"
"206","Paul George","469218","4725","Indiana Pacers","IND","11","Small Forward","5","13","6","2010","1990","Fresno State","81","225"
"207","Kevin Seraphin","550427","4748","Indiana Pacers","IND","11","Power Forward","6","1","6","2010","1989","None","81","278"
"208","Jeremy Evans","340764","4786","Indiana Pacers","IND","11","Small Forward","5","22","6","2010","1987","Western Kentucky","81","200"
"209","Lavoy Allen","402984","4932","Indiana Pacers","IND","11","Center","9","5","5","2011","1989","Temple","81","260"
"210","Julyan Stone","399800","5000","Indiana Pacers","IND","11","Shooting Guard","2","10","3","2011","1988","UTEP","78","200"
"211","Glenn Robinson III","698979","5351","Indiana Pacers","IND","11","Small Forward","5","40","2","2014","1994","Michigan","78","222"
"212","Shayne Whittington","508237","5378","Indiana Pacers","IND","11","Center","9","42","2","2014","1991","Western Michigan","83","250"
"213","Myles Turner","843762","5471","Indiana Pacers","IND","11","Power Forward","6","33","1","2015","1996","Texas","83","240"
"214","Rakeem Christmas","609792","5496","Indiana Pacers","IND","11","Power Forward","6","25","1","2015","1991","Syracuse","81","250"
"215","Joe Young","553721","5503","Indiana Pacers","IND","11","Shooting Guard","2","1","1","2015","1992","Oregon","74","180"
"216","Georges Niang","679381","5681","Indiana Pacers","IND","11","Power Forward","6","32","0","2016","1993","Iowa State","80","230"
"217","Alex Poythress","699951","5711","Indiana Pacers","IND","11","Small Forward","5","4","0","2016","1993","Kentucky","80","230"
"218","Nick Zeisloft","603416","5717","Indiana Pacers","IND","11","Point Guard","1","15","0","2016","1992","Indiana","76","210"
"219","Paul Pierce","3235","3253","Los Angeles Clippers","LAC","12","Small Forward","5","34","18","1998","1977","Kansas","79","235"
"220","Jamal Crawford","3388","3407","Los Angeles Clippers","LAC","12","Shooting Guard","2","11","16","2000","1980","Michigan","77","200"
"221","Chris Paul","229598","3930","Los Angeles Clippers","LAC","12","Point Guard","1","3","11","2005","1985","Wake Forest","72","175"
"222","Raymond Felton","174063","3931","Los Angeles Clippers","LAC","12","Shooting Guard","2","29","11","2005","1984","North Carolina","73","205"
"223","Brandon Bass","229792","3959","Los Angeles Clippers","LAC","12","Power Forward","6","2","11","2005","1985","LSU","80","250"
"224","Alan Anderson","66858","3995","Los Angeles Clippers","LAC","12","Shooting Guard","2","26","7","2005","1982","Michigan State","78","220"
"225","J.J. Redick","172643","4139","Los Angeles Clippers","LAC","12","Shooting Guard","2","4","10","2006","1984","Duke","76","190"
"226","Marreese Speights","330421","4478","Los Angeles Clippers","LAC","12","Center","9","5","8","2008","1987","Florida","82","255"
"227","DeAndre Jordan","398142","4497","Los Angeles Clippers","LAC","12","Center","9","6","8","2008","1988","Texas A&M","83","265"
"228","Luc Richard Mbah a Moute","295436","4498","Los Angeles Clippers","LAC","12","Power Forward","6","12","8","2008","1986","UCLA","80","230"
"229","Blake Griffin","399725","4561","Los Angeles Clippers","LAC","12","Power Forward","6","32","6","2009","1989","Oklahoma","82","251"
